athlete_NOC,NOC_for_join,NOC_clean,Year,Gold_ath,Silver_ath,Bronze_ath,Total_ath,Gold_off,Silver_off,Bronze_off,Total_off,Rank,diff_Gold,diff_Silver,diff_Bronze,diff_Total,abs_diff_sum,match_status
BAH,Bahamas,Bahamas,2012,0,1,0,1,1,0,0,1,50,-1,1,0,0,2,DIFFER
BAN,BAN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BAR,BAR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BDI,BDI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BEL,Belgium,Belgium,2012,2,0,1,3,0,1,2,3,64,2,-1,-1,0,4,DIFFER
BEN,BEN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BER,BER,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BHU,BHU,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIH,BIH,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIZ,BIZ,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BLR,Belarus,Belarus,2012,5,2,5,12,2,5,3,10,28,3,-3,2,2,8,DIFFER
BOL,BOL,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BOT,Botswana,Botswana,2012,0,0,1,1,0,1,0,1,70,0,-1,1,0,2,DIFFER
BRA,Brazil,Brazil,2012,9,3,5,17,3,5,9,17,22,6,-2,-4,0,12,DIFFER
BRN,Bahrain,Bahrain,2012,1,0,0,1,1,0,0,1,50,0,0,0,0,0,MATCH
BRU,BRU,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BUL,Bulgaria,Bulgaria,2012,1,0,1,2,0,2,1,3,60,1,-2,0,-1,3,DIFFER
BUR,BUR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAF,CAF,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAM,CAM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,2012,12,1,5,18,2,6,10,18,27,10,-5,-5,0,20,DIFFER
CAY,CAY,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CGO,CGO,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHA,CHA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHI,CHI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHN,China,China,2012,23,38,27,88,39,31,22,92,2,-16,7,5,-4,28,DIFFER
CIV,CIV,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CMR,Cameroon,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COD,COD,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COK,COK,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,Colombia,Colombia,2012,4,1,3,8,1,3,5,9,38,3,-2,-2,-1,7,DIFFER
COM,COM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CPV,CPV,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CRC,CRC,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CRO,Croatia,Croatia,2012,2,3,1,6,3,1,2,6,26,-1,2,-1,0,4,DIFFER
CUB,Cuba,Cuba,2012,6,5,3,14,5,3,7,15,16,1,2,-4,-1,7,DIFFER
CYP,Cyprus,Cyprus,2012,0,0,1,1,0,1,0,1,70,0,-1,1,0,2,DIFFER
CZE,Czech Republic,Czech Republic,2012,3,4,3,10,4,4,3,11,19,-1,0,0,-1,1,DIFFER
DEN,Denmark,Denmark,2012,3,2,4,9,2,4,3,9,30,1,-2,1,0,4,DIFFER
DJI,DJI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DMA,DMA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DOM,Dominican Republic,Dominican Republic,2012,0,1,1,2,1,1,0,2,47,-1,0,1,0,2,DIFFER
ECU,ECU,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
EGY,Egypt,Egypt,2012,0,0,2,2,0,3,1,4,56,0,-3,1,-2,4,DIFFER
ERI,ERI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESA,ESA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,Spain,Spain,2012,4,3,10,17,4,10,6,20,17,0,-7,4,-3,11,DIFFER
EST,Estonia,Estonia,2012,1,0,1,2,0,1,1,2,65,1,-1,0,0,2,DIFFER
ETH,Ethiopia,Ethiopia,2012,3,3,1,7,3,2,3,8,25,0,1,-2,-1,3,DIFFER
FIJ,FIJ,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIN,Finland,Finland,2012,2,0,1,3,0,2,1,3,60,2,-2,0,0,4,DIFFER
FRA,France,France,2012,13,11,11,35,11,11,13,35,7,2,0,-2,0,4,DIFFER
FSM,FSM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GAB,Gabon,Gabon,2012,0,0,1,1,0,1,0,1,70,0,-1,1,0,2,DIFFER
GAM,GAM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GBR,Great Britain,Great Britain,2012,19,29,17,65,29,18,18,65,3,-10,11,-1,0,22,DIFFER
GBS,GBS,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GEO,Georgia,Georgia,2012,3,1,3,7,1,2,3,6,40,2,-1,0,1,3,DIFFER
GEQ,GEQ,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GER,Germany,Germany,2012,14,11,19,44,11,20,13,44,6,3,-9,6,0,18,DIFFER
GHA,GHA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GRE,Greece,Greece,2012,2,0,0,2,0,0,2,2,77,2,0,-2,0,4,DIFFER
GRN,Grenada,Grenada,2012,0,1,0,1,1,0,0,1,50,-1,1,0,0,2,DIFFER
GUA,Guatemala,Guatemala,2012,0,0,1,1,0,1,0,1,70,0,-1,1,0,2,DIFFER
GUI,GUI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUM,GUM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUY,GUY,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HAI,HAI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HKG,Hong Kong,Hong Kong,2012,1,0,0,1,0,0,1,1,79,1,0,-1,0,2,DIFFER
HON,HON,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HUN,Hungary,Hungary,2012,6,8,4,18,8,4,6,18,10,-2,4,-2,0,8,DIFFER
INA,Indonesia,Indonesia,2012,1,0,1,2,0,2,1,3,60,1,-2,0,-1,3,DIFFER
IND,India,India,2012,4,0,2,6,0,2,4,6,57,4,-2,-2,0,8,DIFFER
IOA,IOA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IRI,Iran,Iran,2012,3,4,5,12,7,5,1,13,12,-4,-1,4,-1,9,DIFFER
IRL,Ireland,Ireland,2012,3,1,1,5,1,1,4,6,41,2,0,-3,-1,5,DIFFER
IRQ,IRQ,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISL,ISL,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISR,ISR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ISV,ISV,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,2012,11,8,9,28,8,9,11,28,9,3,-1,-2,0,6,DIFFER
IVB,IVB,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
JAM,Jamaica,Jamaica,2012,4,4,4,12,4,5,4,13,18,0,-1,0,-1,1,DIFFER
JOR,JOR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
JPN,Japan,Japan,2012,17,7,14,38,7,14,17,38,11,10,-7,-3,0,20,DIFFER
KAZ,Kazakhstan,Kazakhstan,2012,5,7,1,13,3,2,6,11,23,2,5,-5,2,12,DIFFER
KEN,Kenya,Kenya,2012,5,2,4,11,2,4,7,13,29,3,-2,-3,-2,8,DIFFER
KGZ,KGZ,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
KIR,KIR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
KOR,South Korea,South Korea,2012,7,13,8,28,13,9,9,31,5,-6,4,-1,-3,11,DIFFER
KSA,Saudi Arabia,Saudi Arabia,2012,1,0,0,1,0,0,1,1,79,1,0,-1,0,2,DIFFER
KUW,Kuwait,Kuwait,2012,1,0,0,1,0,0,1,1,79,1,0,-1,0,2,DIFFER
LAO,LAO,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LAT,Latvia,Latvia,2012,1,1,0,2,1,0,1,2,48,0,1,-1,0,2,DIFFER
LBA,LBA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LBR,LBR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LCA,LCA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LES,LES,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIB,LIB,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LIE,LIE,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LTU,Lithuania,Lithuania,2012,2,2,1,5,2,0,3,5,35,0,2,-2,0,4,DIFFER
LUX,LUX,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAD,MAD,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MAR,Morocco,Morocco,2012,1,0,0,1,0,0,1,1,79,1,0,-1,0,2,DIFFER
MAS,Malaysia,Malaysia,2012,1,0,1,2,0,1,1,2,65,1,-1,0,0,2,DIFFER
MAW,MAW,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MDA,MDA,,2012,2,0,0,2,0,0,0,0,,2,0,0,2,2,ONLY_IN_ATHLETES
MDV,MDV,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MEX,Mexico,Mexico,2012,3,1,3,7,1,3,4,8,39,2,-2,-1,-1,5,DIFFER
MGL,Mongolia,Mongolia,2012,3,0,2,5,0,2,3,5,58,3,-2,-1,0,6,DIFFER
MHL,MHL,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MKD,MKD,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MLI,MLI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MLT,MLT,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MNE,Montenegro,Montenegro,2012,0,0,1,1,0,1,0,1,70,0,-1,1,0,2,DIFFER
MON,MON,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MOZ,MOZ,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MRI,MRI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MTN,MTN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MYA,MYA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NAM,NAM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NCA,NCA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,2012,8,6,6,20,6,6,8,20,13,2,0,-2,0,4,DIFFER
NEP,NEP,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NGR,NGR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NIG,NIG,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NOR,Norway,Norway,2012,1,2,1,4,2,1,1,4,34,-1,1,0,0,2,DIFFER
NRU,NRU,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NZL,New Zealand,New Zealand,2012,5,6,2,13,6,2,5,13,14,-1,4,-3,0,8,DIFFER
OMA,OMA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAK,PAK,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAN,PAN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PAR,PAR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PER,PER,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,PHI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PLE,PLE,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PLW,PLW,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PNG,PNG,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,2012,6,2,2,10,3,2,6,11,23,3,0,-4,-1,7,DIFFER
POR,Portugal,Portugal,2012,0,0,1,1,0,1,0,1,70,0,-1,1,0,2,DIFFER
PRK,North Korea,North Korea,2012,2,4,0,6,4,0,2,6,21,-2,4,-2,0,8,DIFFER
PUR,Puerto Rico,Puerto Rico,2012,1,0,1,2,0,1,1,2,65,1,-1,0,0,2,DIFFER
QAT,Qatar,Qatar,2012,2,0,0,2,0,1,1,2,65,2,-1,-1,0,4,DIFFER
ROU,Romania,Romania,2012,2,2,5,9,2,4,1,7,31,0,-2,4,2,6,DIFFER
RSA,South Africa,South Africa,2012,1,3,2,6,4,1,1,6,20,-3,2,1,0,6,DIFFER
RUS,Russia,Russia,2012,32,24,26,82,18,21,26,65,4,14,3,0,17,17,DIFFER
RWA,RWA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SAM,SAM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SEN,SEN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SEY,SEY,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SGP,Singapore,Singapore,2012,2,0,0,2,0,0,2,2,77,2,0,-2,0,4,DIFFER
SKN,SKN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SLE,SLE,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SLO,Slovenia,Slovenia,2012,2,1,1,4,1,1,2,4,42,1,0,-1,0,2,DIFFER
SMR,SMR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SOL,SOL,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SOM,SOM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SRB,Serbia,Serbia,2012,2,1,1,4,1,1,2,4,42,1,0,-1,0,2,DIFFER
SRI,SRI,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
STP,STP,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUD,SUD,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,2012,0,2,2,4,2,2,0,4,33,-2,0,2,0,4,DIFFER
SUR,SUR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SVK,Slovakia,Slovakia,2012,3,0,1,4,0,1,3,4,63,3,-1,-2,0,6,DIFFER
SWE,Sweden,Sweden,2012,3,1,4,8,1,4,3,8,37,2,-3,1,0,6,DIFFER
SWZ,SWZ,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SYR,SYR,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TAN,TAN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TGA,TGA,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
THA,Thailand,Thailand,2012,1,0,2,3,0,2,2,4,59,1,-2,0,-1,3,DIFFER
TJK,Tajikistan,Tajikistan,2012,1,0,0,1,0,0,1,1,79,1,0,-1,0,2,DIFFER
TKM,TKM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TLS,TLS,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TOG,TOG,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
TPE,Chinese Taipei,Chinese Taipei,2012,1,0,1,2,1,0,1,2,48,0,0,0,0,0,MATCH
TTO,Trinidad and Tobago,Trinidad and Tobago,2012,2,1,1,4,1,1,2,4,42,1,0,-1,0,2,DIFFER
TUN,Tunisia,Tunisia,2012,1,1,1,3,2,0,1,3,36,-1,1,0,0,2,DIFFER
TUR,Turkey,Turkey,2012,1,2,2,5,1,1,1,3,46,0,1,1,2,2,DIFFER
TUV,TUV,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
UAE,UAE,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
UGA,Uganda,Uganda,2012,0,1,0,1,1,0,0,1,50,-1,1,0,0,2,DIFFER
UKR,Ukraine,Ukraine,2012,9,6,5,20,5,4,10,19,15,4,2,-5,1,11,DIFFER
URU,URU,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,United States,United States,2012,29,46,28,103,48,26,30,104,1,-19,20,-2,-1,41,DIFFER
UZB,Uzbekistan,Uzbekistan,2012,2,1,0,3,0,0,3,3,76,2,1,-3,0,6,DIFFER
VAN,VAN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VEN,Venezuela,Venezuela,2012,0,1,0,1,1,0,0,1,50,-1,1,0,0,2,DIFFER
VIE,Vietnam,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
VIN,VIN,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
YEM,YEM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ZAM,ZAM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ZIM,ZIM,,2012,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
,,Cameroon,2012,0,0,0,0,0,0,1,1,79,0,0,-1,-1,1,ONLY_IN_OFFICIAL
,,Vietnam,2012,0,0,0,0,0,0,1,1,79,0,0,-1,-1,1,ONLY_IN_OFFICIAL
AFG,AFG,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ALB,ALB,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ALG,Algeria,Algeria,2016,0,0,2,2,0,2,0,2,63,0,-2,2,0,4,DIFFER
AND,AND,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ANG,ANG,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ANT,ANT,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,2016,0,3,1,4,3,1,0,4,26,-3,2,1,0,6,DIFFER
ARM,Armenia,Armenia,2016,0,1,3,4,1,3,0,4,42,-1,-2,3,0,6,DIFFER
ARU,ARU,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ASA,ASA,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AUS,Australia,Australia,2016,10,8,11,29,8,11,10,29,10,2,-3,1,0,6,DIFFER
AUT,Austria,Austria,2016,1,0,0,1,0,0,1,1,78,1,0,-1,0,2,DIFFER
AZE,Azerbaijan,Azerbaijan,2016,10,1,7,18,1,7,10,18,39,9,-6,-3,0,18,DIFFER
BAH,Bahamas,Bahamas,2016,1,1,0,2,1,0,1,2,51,0,1,-1,0,2,DIFFER
BAN,BAN,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BAR,BAR,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BDI,Burundi,Burundi,2016,0,0,1,1,0,1,0,1,69,0,-1,1,0,2,DIFFER
BEL,Belgium,Belgium,2016,2,2,2,6,2,2,2,6,35,0,0,0,0,0,MATCH
BEN,BEN,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BER,BER,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BHU,BHU,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIH,BIH,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BIZ,BIZ,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BLR,Belarus,Belarus,2016,4,1,4,9,1,4,4,9,40,3,-3,0,0,6,DIFFER
BOL,BOL,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BOT,BOT,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BRA,Brazil,Brazil,2016,6,7,6,19,7,6,6,19,13,-1,1,0,0,2,DIFFER
BRN,Bahrain,Bahrain,2016,0,1,1,2,1,1,0,2,48,-1,0,1,0,2,DIFFER
BRU,BRU,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BUL,Bulgaria,Bulgaria,2016,2,0,1,3,0,1,2,3,66,2,-1,-1,0,4,DIFFER
BUR,BUR,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAF,CAF,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAM,CAM,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,2016,15,4,3,22,4,3,15,22,20,11,1,-12,0,24,DIFFER
CAY,CAY,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CGO,CGO,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHA,CHA,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHI,CHI,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CHN,China,China,2016,26,26,18,70,26,18,26,70,3,0,8,-8,0,16,DIFFER
CIV,Ivory Coast,Ivory Coast,2016,1,1,0,2,1,0,1,2,51,0,1,-1,0,2,DIFFER
CMR,CMR,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COD,COD,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COK,COK,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,Colombia,Colombia,2016,3,3,2,8,3,2,3,8,22,0,1,-1,0,2,DIFFER
COM,COM,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CPV,CPV,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CRC,CRC,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CRO,Croatia,Croatia,2016,2,5,3,10,5,3,2,10,17,-3,2,1,0,6,DIFFER
CUB,Cuba,Cuba,2016,4,5,2,11,5,2,4,11,18,-1,3,-2,0,6,DIFFER
CYP,CYP,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CZE,Czech Republic,Czech Republic,2016,7,1,2,10,1,2,7,10,43,6,-1,-5,0,12,DIFFER
DEN,Denmark,Denmark,2016,7,2,6,15,2,6,7,15,27,5,-4,-1,0,10,DIFFER
DJI,DJI,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DMA,DMA,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DOM,Dominican Republic,Dominican Republic,2016,1,0,0,1,0,0,1,1,78,1,0,-1,0,2,DIFFER
ECU,ECU,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
EGY,Egypt,Egypt,2016,3,0,0,3,0,0,3,3,75,3,0,-3,0,6,DIFFER
ERI,ERI,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESA,ESA,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,Spain,Spain,2016,6,7,4,17,7,4,6,17,14,-1,3,-2,0,6,DIFFER
EST,Estonia,Estonia,2016,1,0,0,1,0,0,1,1,78,1,0,-1,0,2,DIFFER
ETH,Ethiopia,Ethiopia,2016,5,1,2,8,1,2,5,8,44,4,-1,-3,0,8,DIFFER
FIJ,Fiji,Fiji,2016,0,1,0,1,1,0,0,1,54,-1,1,0,0,2,DIFFER
FIN,Finland,Finland,2016,1,0,0,1,0,0,1,1,78,1,0,-1,0,2,DIFFER
FRA,France,France,2016,14,10,18,42,10,18,14,42,7,4,-8,4,0,16,DIFFER
FSM,FSM,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GAB,GAB,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GAM,GAM,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GBR,Great Britain,Great Britain,2016,17,27,23,67,27,23,17,67,2,-10,4,6,0,20,DIFFER
GBS,GBS,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GEO,Georgia,Georgia,2016,4,2,1,7,2,1,4,7,38,2,1,-3,0,6,DIFFER
GEQ,GEQ,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GER,Germany,Germany,2016,15,17,10,42,17,10,15,42,5,-2,7,-5,0,14,DIFFER
GHA,GHA,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GRE,Greece,Greece,2016,2,3,1,6,3,1,2,6,25,-1,2,-1,0,4,DIFFER
GRN,Grenada,Grenada,2016,0,0,1,1,0,1,0,1,69,0,-1,1,0,2,DIFFER
GUA,GUA,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUI,GUI,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUM,GUM,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
GUY,GUY,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HAI,HAI,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HKG,HKG,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HON,HON,,2016,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
